Latitude (decimal degrees):	10.743
Longitude (decimal degrees):	122.529
Elevation (m):	12
Radiation database:	PVGIS-ERA5


Slope: - deg. 
Azimuth: - deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0030,769.49,29.89,25.96,7.17,0.0
20200101:0130,923.4,41.33,26.8,8.48,0.0
20200101:0230,843.03,50.57,27.59,8.83,0.0
20200101:0330,860.96,55.77,28.12,8.69,0.0
20200101:0430,919.93,55.07,28.43,8.55,0.0
20200101:0530,787.43,48.78,28.59,8.28,0.0
20200101:0630,784.05,38.92,28.31,8.55,0.0
20200101:0730,675.7,27.16,27.69,8.41,0.0
20200101:0830,364.71,14.4,27.39,8.34,0.0
20200101:0930,5.3,1.08,26.57,7.72,0.0
20200101:1030,0.0,0.0,25.9,7.52,0.0
20200101:1130,0.0,0.0,25.67,7.59,0.0
20200101:1230,0.0,0.0,25.69,7.79,0.0
20200101:1330,0.0,0.0,25.57,7.66,0.0
20200101:1430,0.0,0.0,25.37,7.66,0.0
20200101:1530,0.0,0.0,25.04,7.45,0.0
20200101:1630,0.0,0.0,24.94,7.03,0.0
20200101:1730,0.0,0.0,24.77,6.9,0.0
20200101:1830,0.0,0.0,24.84,6.9,0.0
20200101:1930,0.0,0.0,24.84,6.69,0.0
20200101:2030,0.0,0.0,24.86,6.41,0.0
20200101:2130,0.0,0.0,24.9,6.55,0.0
20200101:2230,448.25,4.09,25.06,6.62,0.0
20200101:2330,676.37,17.31,25.26,6.83,0.0
20200102:0030,848.22,29.84,26.08,7.03,0.0
20200102:0130,879.32,41.3,27.01,8.41,0.0
20200102:0230,806.76,50.58,27.77,8.69,0.0
20200102:0330,924.44,55.84,28.07,8.83,0.0
20200102:0430,734.53,55.18,28.54,8.9,0.0
20200102:0530,874.34,48.91,28.5,8.69,0.0
20200102:0630,867.07,39.05,28.66,8.76,0.0
20200102:0730,789.05,27.29,28.41,8.62,0.0
20200102:0830,678.43,14.52,28.06,7.79,0.0
20200102:0930,6.71,1.2,27.44,7.1,0.0
20200102:1030,0.0,0.0,26.72,7.03,0.0
20200102:1130,0.0,0.0,26.31,7.38,0.0
20200102:1230,0.0,0.0,26.1,7.38,0.0
20200102:1330,0.0,0.0,25.96,7.24,0.0
20200102:1430,0.0,0.0,25.83,7.24,0.0
20200102:1530,0.0,0.0,25.7,7.31,0.0
20200102:1630,0.0,0.0,25.48,7.24,0.0
20200102:1730,0.0,0.0,25.21,7.24,0.0
20200102:1830,0.0,0.0,24.97,7.17,0.0
20200102:1930,0.0,0.0,24.89,7.66,0.0
20200102:2030,0.0,0.0,24.73,7.24,0.0
20200102:2130,0.0,0.0,24.64,6.83,0.0
20200102:2230,182.15,4.01,24.66,6.55,0.0
20200102:2330,276.33,17.24,24.81,6.48,0.0
20200103:0030,482.25,29.8,25.18,7.1,0.0
20200103:0130,630.88,41.29,25.78,7.1,0.0
20200103:0230,657.5,50.6,26.55,7.03,0.0
20200103:0330,702.93,55.91,26.8,7.17,0.0
20200103:0430,723.68,55.3,26.9,7.86,0.0
20200103:0530,713.38,49.04,27.02,7.86,0.0
20200103:0630,657.36,39.19,27.35,7.86,0.0
20200103:0730,697.93,27.42,26.82,8.0,0.0
20200103:0830,304.43,14.65,26.5,8.07,0.0
20200103:0930,5.41,1.32,25.66,7.52,0.0
20200103:1030,0.0,0.0,25.26,7.1,0.0
20200103:1130,0.0,0.0,25.15,6.97,0.0
20200103:1230,0.0,0.0,25.24,7.03,0.0
20200103:1330,0.0,0.0,25.09,6.76,0.0
20200103:1430,0.0,0.0,25.13,6.48,0.0
20200103:1530,0.0,0.0,25.06,6.41,0.0
20200103:1630,0.0,0.0,25.05,6.41,0.0
20200103:1730,0.0,0.0,24.73,6.14,0.0
20200103:1830,0.0,0.0,24.6,6.14,0.0
20200103:1930,0.0,0.0,24.52,6.07,0.0
20200103:2030,0.0,0.0,24.4,6.55,0.0
20200103:2130,0.0,0.0,24.24,6.83,0.0
20200103:2230,172.62,3.93,24.36,7.03,0.0
20200103:2330,492.81,17.18,24.39,6.55,0.0
20200104:0030,540.23,29.76,24.76,7.24,0.0
20200104:0130,739.25,41.27,25.44,7.24,0.0
20200104:0230,907.66,50.63,26.23,7.38,0.0
20200104:0330,814.9,55.99,26.69,8.07,0.0
20200104:0430,706.4,55.42,27.14,8.07,0.0
20200104:0530,809.19,49.18,26.84,8.21,0.0
20200104:0630,820.76,39.33,26.86,8.41,0.0
20200104:0730,648.48,27.56,26.81,8.14,0.0
20200104:0830,533.4,14.77,26.5,7.17,0.0
20200104:0930,6.02,1.44,26.02,6.76,0.0
20200104:1030,0.0,0.0,25.54,5.79,0.0
20200104:1130,0.0,0.0,25.06,5.59,0.0
20200104:1230,0.0,0.0,24.86,5.66,0.0
20200104:1330,0.0,0.0,24.84,5.86,0.0
20200104:1430,0.0,0.0,24.65,6.34,0.0
20200104:1530,0.0,0.0,24.57,6.83,0.0
20200104:1630,0.0,0.0,24.67,6.9,0.0
20200104:1730,0.0,0.0,24.67,6.76,0.0
20200104:1830,0.0,0.0,24.61,6.69,0.0
20200104:1930,0.0,0.0,24.64,6.48,0.0
20200104:2030,0.0,0.0,24.52,6.62,0.0
20200104:2130,0.0,0.0,24.6,6.62,0.0
20200104:2230,383.42,3.86,24.65,6.34,0.0
20200104:2330,686.43,17.12,24.82,6.21,0.0
20200105:0030,666.1,29.72,25.65,7.31,0.0
20200105:0130,888.82,41.27,26.57,7.52,0.0
20200105:0230,951.03,50.67,27.24,7.59,0.0
20200105:0330,896.82,56.08,27.89,7.45,0.0
20200105:0430,836.68,55.56,28.14,7.24,0.0
20200105:0530,784.87,49.33,28.14,7.17,0.0
20200105:0630,779.38,39.47,28.05,7.45,0.0
20200105:0730,699.26,27.69,27.53,7.66,0.0
20200105:0830,583.43,14.9,27.03,7.79,0.0
20200105:0930,6.03,1.56,26.14,6.9,0.0
20200105:1030,0.0,0.0,25.52,6.83,0.0
20200105:1130,0.0,0.0,25.22,7.03,0.0
20200105:1230,0.0,0.0,25.08,6.83,0.0
20200105:1330,0.0,0.0,24.96,6.97,0.0
20200105:1430,0.0,0.0,24.92,6.83,0.0
20200105:1530,0.0,0.0,24.76,6.69,0.0
20200105:1630,0.0,0.0,24.7,6.41,0.0
20200105:1730,0.0,0.0,24.68,6.48,0.0
20200105:1830,0.0,0.0,24.57,6.69,0.0
20200105:1930,0.0,0.0,24.65,6.28,0.0
20200105:2030,0.0,0.0,24.57,6.14,0.0
20200105:2130,0.0,0.0,24.6,6.14,0.0
20200105:2230,297.11,3.79,24.5,6.07,0.0
20200105:2330,315.58,17.06,24.63,6.14,0.0
20200106:0030,662.15,29.69,25.13,6.07,0.0
20200106:0130,684.34,41.26,25.92,7.31,0.0
