Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5197574,-,b'Iloilo',b'Philippines',10.74,122.53,8,12,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Relative Humidity
2020,1,1,0,0,94.58
2020,1,1,1,0,94.08
2020,1,1,2,0,94.12
2020,1,1,3,0,94.12
2020,1,1,4,0,93.95
2020,1,1,5,0,94.02
2020,1,1,6,0,93.58
2020,1,1,7,0,92.24
2020,1,1,8,0,84.86
2020,1,1,9,0,79.51
2020,1,1,10,0,76.56
2020,1,1,11,0,75.47
2020,1,1,12,0,75.33
2020,1,1,13,0,75.8
2020,1,1,14,0,76.87
2020,1,1,15,0,79.7
2020,1,1,16,0,84.19
2020,1,1,17,0,88.83
2020,1,1,18,0,90.78
2020,1,1,19,0,91.93
2020,1,1,20,0,92.58
2020,1,1,21,0,93.28
2020,1,1,22,0,93.23
2020,1,1,23,0,93.41
2020,1,2,0,0,93.13
2020,1,2,1,0,93.11
2020,1,2,2,0,93.01
2020,1,2,3,0,93.19
2020,1,2,4,0,92.89
2020,1,2,5,0,92.91
2020,1,2,6,0,92.43
2020,1,2,7,0,90.96000000000001
2020,1,2,8,0,86.54
2020,1,2,9,0,81.91
2020,1,2,10,0,78.35000000000001
2020,1,2,11,0,76.2
2020,1,2,12,0,75.5
2020,1,2,13,0,75.24
2020,1,2,14,0,75.4
2020,1,2,15,0,77.55
2020,1,2,16,0,81.73
2020,1,2,17,0,86.48
2020,1,2,18,0,89.04
2020,1,2,19,0,90.01
2020,1,2,20,0,90.51
2020,1,2,21,0,91.75
2020,1,2,22,0,92.4
2020,1,2,23,0,93.07000000000001
2020,1,3,0,0,93.45
2020,1,3,1,0,93.75
2020,1,3,2,0,94.15
2020,1,3,3,0,93.9
