Latitude (decimal degrees):	10.738
Longitude (decimal degrees):	122.543
Elevation (m):	10
Radiation database:	PVGIS-ERA5


Slope: - deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0030,613.18,769.16,29.91,25.96,7.17,0.0
20200101:0130,729.14,923.16,41.34,26.8,8.48,0.0
20200101:0230,666.47,842.9,50.58,27.59,8.83,0.0
20200101:0330,679.3,860.89,55.78,28.12,8.69,0.0
20200101:0430,720.59,919.92,55.07,28.43,8.55,0.0
20200101:0530,620.21,787.47,48.77,28.59,8.28,0.0
20200101:0630,620.97,784.16,38.91,28.31,8.55,0.0
20200101:0730,539.78,675.9,27.15,27.69,8.41,0.0
20200101:0830,290.58,364.95,14.39,27.39,8.34,0.0
20200101:0930,0.0,4.06,1.07,26.57,7.72,0.0
20200101:1030,0.0,0.0,0.0,25.9,7.52,0.0
20200101:1130,0.0,0.0,0.0,25.67,7.59,0.0
20200101:1230,0.0,0.0,0.0,25.69,7.79,0.0
20200101:1330,0.0,0.0,0.0,25.57,7.66,0.0
20200101:1430,0.0,0.0,0.0,25.37,7.66,0.0
20200101:1530,0.0,0.0,0.0,25.04,7.45,0.0
20200101:1630,0.0,0.0,0.0,24.94,7.03,0.0
20200101:1730,0.0,0.0,0.0,24.77,6.9,0.0
20200101:1830,0.0,0.0,0.0,24.84,6.9,0.0
20200101:1930,0.0,0.0,0.0,24.84,6.69,0.0
20200101:2030,0.0,0.0,0.0,24.86,6.41,0.0
20200101:2130,0.0,0.0,0.0,24.9,6.55,0.0
20200101:2230,362.33,446.71,4.11,25.06,6.62,0.0
20200101:2330,543.97,675.8,17.32,25.26,6.83,0.0
20200102:0030,671.85,847.85,29.86,26.08,7.03,0.0
20200102:0130,695.26,879.09,41.32,27.01,8.41,0.0
20200102:0230,639.0,806.63,50.59,27.77,8.69,0.0
20200102:0330,726.61,924.36,55.84,28.07,8.83,0.0
20200102:0430,582.05,734.52,55.18,28.54,8.9,0.0
20200102:0530,688.88,874.39,48.9,28.5,8.69,0.0
20200102:0630,682.92,867.2,39.04,28.66,8.76,0.0
